Demo Section;Page ID;Title;Description;URL Primary;URL Secondary;Image for portal;status
01 - Twitter Exploration;01c-4;Customization - Influencers dashboard;View of influencers and sentiments for the customized companies or topics;http://10.3.220.50/views/HavenLiveDemos-01c-CustomTweets/4-Influencers?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01c-CustomTweets/4-Influencers?:embed=y;01c-4-Influencers.png;PROD
01 - Twitter Exploration;01c-5;Customization - Geotagged tweets;A geographical view of geotagged tweets;http://10.3.220.50/views/HavenLiveDemos-01c-CustomTweets/5-GeotaggedTweets?:embed=y;http://10.3.220.51/views/HavenLiveDemos-01c-CustomTweets/5-GeotaggedTweets?:embed=y;01c-5-GeotaggedTweets.png;PROD
02 - Image Analysis;02-1;Recognized patterns and logo;Patterns recognized in images attached to tweets;http://10.3.220.50/views/HavenLiveDemos-02-ImageAnalysis/1-RecoPatterns?:embed=y;http://10.3.220.51/views/HavenLiveDemos-02-ImageAnalysis/1-RecoPatterns?:embed=y;02-1-RecoPatterns.png;PROD
02 - Image Analysis;02-2;Images analysis follow-up;A view of freshly analyzed images (with patterns detected);http://10.3.220.50/views/HavenLiveDemos-02-ImageAnalysis/2-ImgAnalysisRT?:embed=y;http://10.3.220.51/views/HavenLiveDemos-02-ImageAnalysis/2-ImgAnalysisRT?:embed=y;02-2-ImgAnalysisRT.png;PROD
03 - Smart Data Lake;03-1;Word count;Distribution of words in documents stored in the datalake;http://10.3.220.50/views/HavenLiveDemos-03-SmartDataLake/1-WordCount?:embed=y;http://10.3.220.51/views/HavenLiveDemos-03-SmartDataLake/1-WordCount?:embed=y;03-1-WordCount.png;PROD
03 - Smart Data Lake;03-2;Top contributors;Main contributors extracted from documents meta-data;http://10.3.220.50/views/HavenLiveDemos-03-SmartDataLake/2-TopContributors?:embed=y;http://10.3.220.51/views/HavenLiveDemos-03-SmartDataLake/2-TopContributors?:embed=y;03-2-TopContributors.png;PROD
03 - Smart Data Lake;03-3;Entity extraction;Entities extracted from the documents in the datalake;http://10.3.220.50/views/HavenLiveDemos-03-SmartDataLake/3-EntityExtraction?:embed=y;http://10.3.220.51/views/HavenLiveDemos-03-SmartDataLake/3-EntityExtraction?:embed=y;03-3-EntityExtraction.png;PROD
03 - Smart Data Lake;03-4;Topic Evolution;Vizualizing topic evolution based on document creation date;http://10.3.220.50/views/HavenLiveDemos-03-SmartDataLake/4-TopicEvolution?:embed=y;http://10.3.220.51/views/HavenLiveDemos-03-SmartDataLake/4-TopicEvolution?:embed=y;03-4-TopicEvolution.png;PROD
04 - Text Mining on News;04-1;Cluster vizualization from Idol with d3js;Forced-graph visualization of news clustered by IDOL;http://10.3.220.52/haven02/;none;04-1-haven02.png;PROD
04 - Text Mining on News;04-2;News Spectrum (public web);Website demonstrating IDOL based news spectrograph;http://news-spectrum.com/;none;04-2-NewsSpectrum.png;PROD
04 - Text Mining on News;04-3;News Wall (public web);Website demonstrating IDOL based news clustering and spectrograph;http://www.newswall.ch/;none;04-3-NewsWall.png;PROD
;;;;;;;
04 - Text Mining on News;04-4;Snapshots & clusters Idol-Vertica 1;workbook to build;workbook to build;workbook to build1;workbook to build;
04 - Text Mining on News;04-5;Snapshots & clusters Idol-Vertica 2;workbook to build;workbook to build;workbook to build1;workbook to build;
05 - Data flow with Medicare;05-1;To be defined;;;;;
;;;;;;;
;;;;;;;
